Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2,,
01-01-1996,116,CO,Lynwood,06-037-1301,AQS,116,39,24,67,.,63,,
01-02-1996,118,CO,Lynwood,06-037-1301,AQS,118,30,19,42,.,102,,
01-03-1996,99,CO,Lynwood,06-037-1301,AQS,99,30,19,40,.,97,,
01-04-1996,75,CO,Lynwood,06-037-1301,AQS,75,28,11,56,.,73,,
01-05-1996,79,NO2,SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE,06-037-0206,AQS,62,35,10,53,.,79,,
01-06-1996,173,CO,Lynwood,06-037-1301,AQS,173,29,13,57,.,103,,
01-07-1996,178,CO,Lynwood,06-037-1301,AQS,178,27,14,31,.,101,,
01-08-1996,173,CO,Lynwood,06-037-1301,AQS,173,24,36,55,.,108,,
01-09-1996,119,NO2,Los Angeles-North Main Street,06-037-1103,AQS,98,27,23,78,.,119,,
01-10-1996,128,NO2,Los Angeles-North Main Street,06-037-1103,AQS,116,31,29,95,.,128,,
01-11-1996,128,CO,Lynwood,06-037-1301,AQS,128,29,16,47,.,106,,
01-12-1996,135,CO,Lynwood,06-037-1301,AQS,135,24,19,47,.,99,,
01/13/1996,214,CO,Lynwood,06-037-1301,AQS,214,22,20,53,.,103,,
01/14/1996,105,NO2,Pasadena,06-037-2005,AQS,65,33,16,54,.,105,,
01/15/1996,110,NO2,Azusa,06-037-0002,AQS,74,33,20,68,.,110,,
01/16/1996,64,NO2,Azusa,06-037-0002,AQS,42,29,11,52,.,64,,
01/17/1996,55,NO2,Pomona,06-037-1701,AQS,36,30,9,24,.,55,,
01/18/1996,69,NO2,Glendora,06-037-0016,AQS,49,25,10,39,.,69,,
01/19/1996,57,NO2,Pomona,06-037-1701,AQS,33,32,6,21,.,57,,
01/20/1996,79,NO2,Pomona,06-037-1701,AQS,73,30,11,26,.,79,,
01/21/1996,86,CO,Lynwood,06-037-1301,AQS,86,31,11,30,.,67,,
01/22/1996,57,NO2,Pomona,06-037-1701,AQS,50,30,10,24,.,57,,
01/23/1996,68,NO2,Pomona,06-037-1701,AQS,66,31,20,33,.,68,,
01/24/1996,102,NO2,West Los Angeles,06-037-0113,AQS,92,32,13,50,.,102,,
01/25/1996,78,NO2,West Los Angeles,06-037-0113,AQS,58,31,7,44,.,78,,
01/26/1996,80,NO2,Long Beach (North),06-037-4002,AQS,73,29,17,39,.,80,,
01/27/1996,93,CO,Lynwood,06-037-1301,AQS,93,30,16,39,.,86,,
01/28/1996,57,NO2,West Los Angeles,06-037-0113,AQS,42,31,20,28,.,57,,
01/29/1996,58,NO2,West Los Angeles,06-037-0113,AQS,55,27,7,29,.,58,,
01/30/1996,101,NO2,Reseda,06-037-1201,AQS,73,18,16,41,.,101,,
01/31/1996,46,NO2,,06-037-1601,AQS,24,33,6,15,.,46,,
02-01-1996,63,NO2,,06-037-1601,AQS,35,31,6,23,.,63,,
02-02-1996,48,NO2,Azusa,06-037-0002,AQS,35,28,10,25,.,48,,
02-03-1996,48,NO2,Azusa,06-037-0002,AQS,45,15,9,31,.,48,,
02-04-1996,74,NO2,Azusa,06-037-0002,AQS,63,36,10,40,.,74,,
02-05-1996,76,NO2,,06-037-1601,AQS,56,19,14,30,.,76,,
02-06-1996,103,NO2,Pasadena,06-037-2005,AQS,70,31,33,44,.,103,,
02-07-1996,147,CO,Lynwood,06-037-1301,AQS,147,31,43,41,.,111,,
02-08-1996,151,CO,Lynwood,06-037-1301,AQS,151,32,19,33,.,100,,
02-09-1996,67,NO2,Azusa,06-037-0002,AQS,59,28,6,52,.,67,,
02-10-1996,54,NO2,Azusa,06-037-0002,AQS,31,36,11,32,.,54,,
02-11-1996,68,NO2,Azusa,06-037-0002,AQS,31,42,9,40,.,68,,
02-12-1996,68,NO2,Los Angeles-North Main Street,06-037-1103,AQS,47,30,23,51,.,68,,
02/13/1996,69,NO2,Hawthorne,06-037-5001,AQS,66,29,21,53,.,69,,
02/14/1996,106,NO2,Azusa,06-037-0002,AQS,71,35,44,51,.,106,,
02/15/1996,106,NO2,Pasadena,06-037-2005,AQS,40,25,34,66,.,106,,
02/16/1996,89,NO2,Azusa,06-037-0002,AQS,48,28,23,44,.,89,,
02/17/1996,49,NO2,Azusa,06-037-0002,AQS,32,28,20,22,.,49,,
02/18/1996,49,NO2,Azusa,06-037-0002,AQS,27,34,23,34,.,49,,
02/19/1996,42,NO2,Azusa,06-037-0002,AQS,24,27,7,28,.,42,,
02/20/1996,42,NO2,Azusa,06-037-0002,AQS,36,35,10,13,.,42,,
02/21/1996,46,NO2,,06-037-1601,AQS,17,37,6,13,.,46,,
02/22/1996,61,CO,Lynwood,06-037-1301,AQS,61,36,6,19,.,47,,
02/23/1996,58,NO2,Azusa,06-037-0002,AQS,41,36,7,23,.,58,,
02/24/1996,59,CO,Lynwood,06-037-1301,AQS,59,39,16,30,.,54,,
02/25/1996,45,NO2,Azusa,06-037-0002,AQS,20,39,10,15,.,45,,
02/26/1996,55,NO2,,06-037-1601,AQS,50,36,6,16,.,55,,
02/27/1996,52,NO2,Reseda,06-037-1201,AQS,43,28,9,21,.,52,,
02/28/1996,54,NO2,Long Beach (North),06-037-4002,AQS,42,33,30,20,.,54,,
02/29/1996,57,NO2,SITE IS LOCATED ONE HALF MILE EAST OF THE I-57/I-60 INTERCHANGE,06-037-0206,AQS,50,31,29,28,.,57,,
03-01-1996,68,NO2,Azusa,06-037-0002,AQS,64,34,7,26,.,68,,
03-02-1996,77,CO,Lynwood,06-037-1301,AQS,77,45,43,21,.,69,,
03-03-1996,82,NO2,Reseda,06-037-1201,AQS,56,32,26,31,.,82,,
03-04-1996,47,NO2,Azusa,06-037-0002,AQS,26,31,6,31,.,47,,
03-05-1996,69,NO2,Reseda,06-037-1201,AQS,26,33,7,21,.,69,,
03-06-1996,101,NO2,Reseda,06-037-1201,AQS,50,38,14,33,.,101,,
03-07-1996,74,NO2,,06-037-1601,AQS,53,39,7,31,.,74,,
03-08-1996,103,NO2,,06-037-1601,AQS,59,38,82,37,.,103,,
03-09-1996,95,NO2,,06-037-1601,AQS,63,58,30,43,.,95,,
03-10-1996,72,NO2,West Los Angeles,06-037-0113,AQS,39,54,33,30,.,72,,
03-11-1996,44,NO2,Azusa,06-037-0002,AQS,23,31,11,28,.,44,,
03-12-1996,42,NO2,Long Beach (North),06-037-4002,AQS,19,39,6,25,.,42,,
03/13/1996,54,NO2,West Los Angeles,06-037-0113,AQS,25,35,10,14,.,54,,
03/14/1996,64,NO2,Azusa,06-037-0002,AQS,43,43,43,24,.,64,,
03/15/1996,73,NO2,Azusa,06-037-0002,AQS,49,37,55,31,.,73,,
03/16/1996,74,Ozone,Hawthorne,06-037-5001,AQS,35,74,54,51,.,66,,
03/17/1996,74,Ozone,,06-037-6002,AQS,32,74,39,47,.,55,,
