Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),SO2,PM25
01/13/2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
01/14/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01/15/2001,36,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,36,.
01/16/2001,23,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,23,.
01/17/2001,44,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,44,.
01/18/2001,20,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,20,.
01/19/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
01/20/2001,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
01/21/2001,21,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,21,.
01/22/2001,10,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,10,.
01/23/2001,21,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,21,.
01/24/2001,74,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,74,.
01/25/2001,107,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,107,.
01/26/2001,94,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,94,.
01/27/2001,101,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,101,.
01/28/2001,75,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,75,.
01/29/2001,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
01/30/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
01/31/2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
02-01-2001,36,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,36,.
02-02-2001,103,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,103,.
02-03-2001,56,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,56,.
02-04-2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
02-05-2001,30,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,30,.
02-06-2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
02-07-2001,44,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,44,.
02-08-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
02-09-2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
02-10-2001,66,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,66,.
02-11-2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
02-12-2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
02/13/2001,46,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,46,.
02/14/2001,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
02/15/2001,6,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,6,.
02/16/2001,7,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,7,.
02/17/2001,79,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,79,.
02/18/2001,31,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,31,.
02/19/2001,4,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,4,.
02/20/2001,9,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,9,.
02/21/2001,106,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,106,.
02/22/2001,51,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,51,.
02/23/2001,79,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,79,.
02/24/2001,11,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,11,.
02/25/2001,3,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,3,.
02/26/2001,19,SO2,Superseded Aurora Ferry site,37-013-0006,AQS,19,.
