Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
134.97,25,21,127,0,0,42
74.76,30,23,65,44,0,42
110.82,26,20,101,46,0,40
103.66,34,19,94,40,0,44
83.02,34,16,75,0,0,40
116.41,17,26,105,57,0,40
122.06,26,32,113,17,0,44
106.58,42,20,97,39,0,42
111.93,34,20,103,34,0,41
92.22,26,20,81,35,0,57
98.12,38,23,87,52,0,42
68.01,26,27,59,33,0,42
208.68,24,25,200,31,0,41
111.53,49,22,99,47,0,58
90.85,48,12,77,43,0,69
110.33,24,25,99,55,0,42
68.65,28,27,60,31,0,40
123.97,36,25,113,51,0,42
89.38,31,33,80,18,0,45
84.07,30,31,60,72,0,37
125.58,14,30,105,107,0,39
139.02,36,25,128,51,0,43
90.34,20,27,82,31,0,39
97.44,19,28,86,55,0,45
122.82,38,28,111,51,0,53
79.95,36,29,69,43,0,50
181.69,30,29,173,23,0,41
110.1,39,31,97,59,0,57
107.16,41,29,97,24,0,47
121.61,28,30,107,62,0,69
126.26,27,31,113,65,0,47
164.25,41,24,149,57,0,74
120.03,31,30,109,24,0,56
129.39,27,35,119,36,0,49
115.19,31,27,105,30,0,50
85.65,50,25,71,59,0,68
101.32,39,25,92,36,0,41
78.81,36,22,66,53,0,60
78.35,51,21,67,39,0,50
106.42,28,28,95,53,0,47
105.94,25,32,91,78,0,42
101.99,22,30,79,87,0,42
212.9,38,23,200,32,0,66
99.72,38,18,89,50,0,42
134.46,17,31,55,123,0,45
131.84,26,31,115,92,0,38
165.76,22,24,158,21,0,38
121.81,35,23,113,36,0,39
69.94,59,18,34,36,0,54
67.12,57,31,50,0,0,40
131,39,26,121,44,0,42
130.51,41,27,120,45,0,46
128.83,33,31,114,77,0,40
67.12,33,28,59,35,0,33
83.44,31,31,72,57,0,33
78.53,18,31,66,63,0,42
72.01,48,31,61,42,0,47
65.83,43,30,56,34,0,42
134.87,54,34,123,37,0,47
123.39,50,29,112,43,0,49
106.44,44,31,97,31,0,32
75.17,23,34,65,49,0,33
116.93,54,33,105,31,0,51
103.46,57,26,91,49,0,47
143.69,34,31,128,85,0,31
149.27,32,34,137,57,0,48
140.25,52,32,128,23,0,57
117.7,39,31,104,68,0,42
116.37,31,40,105,53,0,40
117.16,33,35,105,58,0,42
78.62,39,30,70,31,0,31
120.71,31,38,112,27,0,37
119.72,25,38,111,16,0,40
127.38,32,37,117,27,0,49
77.28,54,44,50,40,0,65
94.18,55,29,82,35,0,53
98.69,20,37,84,72,0,55
104.12,34,37,91,60,0,54
152.09,44,36,140,31,0,57
170.35,42,43,155,66,0,69
105.04,41,31,96,16,0,39
92.75,16,32,86,19,0,25
75.51,16,37,66,22,0,46
123.05,35,40,108,52,0,73
192.44,28,40,180,29,0,62
120.05,23,32,108,59,0,42
103.05,13,32,94,42,0,37
93.68,23,41,81,54,0,58
147.2,22,43,137,28,0,47
182.3,23,41,172,37,0,47
149.73,19,47,140,0,0,46
111.09,33,44,97,59,0,64
118.97,33,38,108,44,0,49
79.31,34,34,69,38,0,47
106.61,35,67,91,38,0,72
122.71,30,108,61,68,0,43
140.6,19,45,131,26,0,39
128.01,32,31,117,51,0,42
114.01,22,42,105,26,0,35
114.54,32,51,101,63,0,45
154.65,24,41,145,26,0,44
88.01,28,35,77,51,0,42
57.2,27,28,50,23,0,32
65.77,26,40,57,20,0,37
81.69,22,64,69,25,0,43
116.1,28,45,103,27,0,65
118.66,31,42,108,43,0,47
121.85,33,44,110,55,0,37
117.99,24,43,107,49,0,46
108.8,15,97,52,54,0,40
95.45,9,84,51,46,0,52
137.97,26,50,124,51,0,66
58.52,25,36,49,31,0,44
115.09,40,47,101,61,0,62
144,43,105,124,27,0,57
160.71,45,140,104,61,0,58
127.4,43,45,115,37,0,57
96.15,41,44,86,34,0,41
123.68,47,61,111,19,0,40
102.94,32,43,87,83,0,35
94.33,30,40,85,39,0,39
123.29,13,49,111,56,0,53
148.34,17,115,128,20,0,47
123.07,20,93,104,36,0,80
74.1,41,54,54,24,0,62
119.55,11,44,110,41,0,34
128.81,28,45,118,25,0,50
107.39,32,80,91,45,0,57
157.53,43,136,107,61,0,68
165.4,44,112,143,61,0,70
178.93,42,156,115,62,0,72
214.3,24,192,117,56,0,63
229.64,35,210,62,63,0,97
189.08,55,169,92,59,0,80
246.9,44,224,104,66,0,102
125.92,61,101,101,75,0,103
161.53,25,39,150,40,0,55
102.73,18,46,87,31,0,83
117.86,24,51,106,29,0,55
161.72,61,108,139,60,0,82
142.02,41,119,111,70,0,83
98.05,41,74,59,59,0,82
130.41,39,43,119,34,0,52
173.2,38,87,155,47,0,69
142.13,35,41,132,24,0,46
190.94,38,74,176,34,0,48
187.84,43,161,147,19,0,71
213.98,49,197,50,72,0,76
186.83,48,164,117,41,0,70
197.56,40,182,69,48,0,69
131.22,32,115,76,44,0,66
221.75,35,201,105,50,0,66
141.04,31,119,114,51,0,66
128.57,26,77,108,75,0,98
125.01,16,42,115,42,0,45
200.77,22,42,191,43,0,39
120.78,20,71,106,44,0,57
114.85,19,97,91,46,0,58
193.03,40,169,122,44,0,81
227.1,33,202,128,57,0,82
161.57,20,140,108,66,0,73
180.75,31,159,103,59,0,90
174.84,34,87,157,23,0,73
184.5,27,166,94,53,0,56
171.7,20,126,149,40,0,52
119.89,11,84,104,31,0,49
65.49,14,54,43,53,0,48
132.07,23,97,112,68,0,74
218.38,26,203,70,48,0,68
226.89,23,206,104,59,0,73
232.54,39,209,120,53,0,74
212.84,41,190,102,66,0,104
94.52,13,33,87,33,0,33
180.08,18,47,170,31,0,41
140.95,16,119,113,44,0,76
196.09,33,177,87,69,0,80
235.21,47,190,200,71,0,87
155.6,27,133,110,88,0,58
155.97,31,136,104,45,0,57
169.87,30,151,95,58,0,56
151.18,24,126,130,0,0,36
126.09,35,108,87,64,0,57
157.33,27,140,87,37,0,60
112.9,28,47,100,57,0,57
79.12,30,45,69,31,0,43
186.49,20,164,113,52,0,82
195.65,40,179,62,30,0,81
126.63,24,112,71,52,0,45
120.69,18,47,110,48,0,39
112.41,28,47,102,35,0,42
135.03,23,119,79,31,0,62
146.89,33,129,84,64,0,67
80.93,32,47,69,52,0,51
98.1,14,49,85,63,0,46
65.99,16,45,57,21,0,30
157.04,34,136,103,48,0,79
214.51,41,192,105,52,0,98
181.57,33,159,105,90,0,83
170.31,32,151,85,61,0,88
206.88,17,185,107,79,0,77
191.99,30,172,105,47,0,54
170.22,39,150,101,52,0,65
122.36,36,108,64,58,0,57
129.22,25,67,115,51,0,53
113.96,26,47,102,48,0,54
108.52,22,39,97,54,0,44
72.18,14,42,62,30,0,48
132.75,15,51,121,40,0,54
120.65,31,105,81,19,0,50
125.03,30,80,108,49,0,69
64.28,39,51,47,25,0,53
132.42,39,108,111,64,0,62
204.42,42,177,132,74,0,106
191.61,43,166,105,116,0,105
72.79,10,61,50,55,0,42
78.62,10,39,69,45,0,36
96.32,15,43,85,31,0,55
