Wens AQI,CO,Ozone,SO2,PM10,PM25,NO2
116.53,61,36,29,0,0,105
120.87,82,21,43,0,0,106
112.51,77,13,14,0,0,100
65.6,52,16,0,0,0,57
75.68,43,19,14,0,0,68
69.56,60,18,0,43,0,47
89.03,55,30,14,0,0,79
116.08,65,21,14,0,0,105
111.43,100,19,14,0,0,68
129.13,111,27,14,0,0,110
126.33,99,24,14,0,0,110
155.58,135,30,29,64,0,108
161.83,143,35,29,0,0,110
120.03,82,29,14,0,0,106
135.28,116,32,29,0,0,114
78.97,49,37,14,50,0,68
115.75,92,25,29,0,0,100
140.2,121,31,29,51,0,103
115.08,87,35,14,0,0,100
111.48,60,44,14,0,0,100
79.23,62,33,14,0,0,68
162.76,145,28,29,0,0,105
120.73,82,30,29,45,0,105
122.4,66,41,14,100,0,103
117.88,69,39,29,0,0,105
115.33,86,37,29,0,0,100
91.58,66,42,29,0,0,79
112.98,70,44,14,0,0,100
104.53,85,50,14,0,0,89
120.33,72,40,14,69,0,105
115.68,74,26,14,0,0,103
122.41,96,28,29,0,0,106
139.25,120,20,29,0,0,116
129.41,99,74,43,0,0,110
138.18,87,51,29,0,0,122
143.36,85,44,14,93,0,124
118.54,65,32,43,0,0,106
127.28,74,38,14,0,0,114
150.49,77,48,43,34,0,135
129.23,95,108,29,0,0,106
153.53,131,112,29,0,0,103
128.79,96,43,29,59,0,110
118.03,80,49,29,0,0,103
132.23,82,67,29,0,0,116
155.91,133,54,43,0,0,129
135.36,92,54,43,0,0,118
75.3,32,38,0,0,0,68
686.93,50,40,14,676,0,47
109.38,41,47,14,0,0,100
113.78,76,36,29,0,0,100
130.34,89,42,43,0,0,114
138.96,76,54,43,0,0,124
127.83,72,49,29,0,0,114
123.87,57,87,29,62,0,106
97.83,34,84,14,0,0,79
128.28,60,54,29,0,0,116
114.88,40,74,14,54,0,100
64.03,30,35,14,0,0,57
63.83,20,37,14,0,0,57
63.91,18,37,0,20,0,57
55.03,35,40,14,0,0,47
80.53,67,44,14,0,0,68
123.63,67,26,14,0,0,112
64.03,33,34,14,0,0,57
75.58,32,38,14,0,0,68
148.1,59,47,130,43,0,89
114.56,72,58,43,0,0,100
116.38,79,54,69,0,0,100
89.53,41,77,14,0,0,68
65.88,24,39,43,0,0,57
98.18,41,34,43,0,0,89
76.23,39,32,14,25,0,68
54.53,31,38,14,0,0,47
64.7,39,37,0,0,0,57
77.5,41,45,14,21,0,68
