Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
01-01-1991,127,SO2,COOK COUNTY TRAILER,17-031-1601,AQS,25,21,127,0,0,42
01-02-1991,65,SO2,,18-127-0017,AQS,30,23,65,44,0,42
01-03-1991,101,SO2,,18-127-0020,AQS,26,20,101,46,0,40
01-04-1991,94,SO2,,18-127-0006,AQS,34,19,94,40,0,44
01-05-1991,75,SO2,,18-127-0018,AQS,34,16,75,0,0,40
01-06-1991,105,SO2,,18-127-0020,AQS,17,26,105,57,0,40
01-07-1991,113,SO2,,18-089-1016,AQS,26,32,113,17,0,44
01-08-1991,97,SO2,,18-127-0018,AQS,42,20,97,39,0,42
01-09-1991,103,SO2,Portage- Hwy 12,18-127-0023,AQS,34,20,103,34,0,41
01-10-1991,81,SO2,EISENHOWER HS,17-031-2001,AQS,26,20,81,35,0,57
01-11-1991,87,SO2,COOK COUNTY TRAILER,17-031-1601,AQS,38,23,87,52,0,42
01-12-1991,59,SO2,FIRESTATION,17-031-1018,AQS,26,27,59,33,0,42
01/13/1991,200,SO2,EISENHOWER HS,17-031-2001,AQS,24,25,200,31,0,41
01/14/1991,99,SO2,,17-031-0039,AQS,49,22,99,47,0,58
01/15/1991,77,SO2,,17-031-0039,AQS,48,12,77,43,0,69
01/16/1991,99,SO2,HAMMOND CAAP- Hammond- 141st St0,18-089-2008,AQS,24,25,99,55,0,42
01/17/1991,60,SO2,,18-127-0006,AQS,28,27,60,31,0,40
01/18/1991,113,SO2,COOK COUNTY TRAILER,17-031-1601,AQS,36,25,113,51,0,42
01/19/1991,80,SO2,COOK COUNTY TRAILER,17-031-1601,AQS,31,33,80,18,0,45
01/20/1991,72,PM10,,18-089-1019,AQS,30,31,60,72,0,37
01/21/1991,107,PM10,,18-089-1019,AQS,14,30,105,107,0,39
01/22/1991,128,SO2,EISENHOWER HS,17-031-2001,AQS,36,25,128,51,0,43
01/23/1991,82,SO2,COOK COUNTY TRAILER,17-031-4002,AQS,20,27,82,31,0,39
01/24/1991,86,SO2,NIPSCO Dunes Acres,18-127-0011,AQS,19,28,86,55,0,45
01/25/1991,111,SO2,EISENHOWER HS,17-031-2001,AQS,38,28,111,51,0,53
01/26/1991,69,SO2,COOK COUNTY TRAILER,17-031-1601,AQS,36,29,69,43,0,50
