Overall AQI Value,CO,Ozone,SO2,PM10,PM25,NO2,Wens AQI
127,25,21,127,0,0,42,134.97
65,30,23,65,44,0,42,74.76
101,26,20,101,46,0,40,110.82
94,34,19,94,40,0,44,103.66
75,34,16,75,0,0,40,83.02
105,17,26,105,57,0,40,116.41
113,26,32,113,17,0,44,122.06
97,42,20,97,39,0,42,106.58
103,34,20,103,34,0,41,111.93
81,26,20,81,35,0,57,92.22
87,38,23,87,52,0,42,98.12
59,26,27,59,33,0,42,68.01
200,24,25,200,31,0,41,208.68
99,49,22,99,47,0,58,111.53
77,48,12,77,43,0,69,90.85
99,24,25,99,55,0,42,110.33
60,28,27,60,31,0,40,68.65
113,36,25,113,51,0,42,123.97
80,31,33,80,18,0,45,89.38
72,30,31,60,72,0,37,84.07
107,14,30,105,107,0,39,125.58
128,36,25,128,51,0,43,139.02
82,20,27,82,31,0,39,90.34
86,19,28,86,55,0,45,97.44
111,38,28,111,51,0,53,122.82
69,36,29,69,43,0,50,79.95
173,30,29,173,23,0,41,181.69
97,39,31,97,59,0,57,110.1
97,41,29,97,24,0,47,107.16
107,28,30,107,62,0,69,121.61
113,27,31,113,65,0,47,126.26
149,41,24,149,57,0,74,164.25
109,31,30,109,24,0,56,120.03
119,27,35,119,36,0,49,129.39
105,31,27,105,30,0,50,115.19
71,50,25,71,59,0,68,85.65
92,39,25,92,36,0,41,101.32
66,36,22,66,53,0,60,78.81
67,51,21,67,39,0,50,78.35
95,28,28,95,53,0,47,106.42
91,25,32,91,78,0,42,105.94
87,22,30,79,87,0,42,101.99
200,38,23,200,32,0,66,212.9
89,38,18,89,50,0,42,99.72
123,17,31,55,123,0,45,134.46
115,26,31,115,92,0,38,131.84
158,22,24,158,21,0,38,165.76
113,35,23,113,36,0,39,121.81
59,59,18,34,36,0,54,69.94
57,57,31,50,0,0,40,67.12
121,39,26,121,44,0,42,131
120,41,27,120,45,0,46,130.51
114,33,31,114,77,0,40,128.83
59,33,28,59,35,0,33,67.12
72,31,31,72,57,0,33,83.44
66,18,31,66,63,0,42,78.53
61,48,31,61,42,0,47,72.01
56,43,30,56,34,0,42,65.83
123,54,34,123,37,0,47,134.87
112,50,29,112,43,0,49,123.39
97,44,31,97,31,0,32,106.44
65,23,34,65,49,0,33,75.17
105,54,33,105,31,0,51,116.93
91,57,26,91,49,0,47,103.46
128,34,31,128,85,0,31,143.69
137,32,34,137,57,0,48,149.27
128,52,32,128,23,0,57,140.25
104,39,31,104,68,0,42,117.7
105,31,40,105,53,0,40,116.37
105,33,35,105,58,0,42,117.16
70,39,30,70,31,0,31,78.62
112,31,38,112,27,0,37,120.71
111,25,38,111,16,0,40,119.72
117,32,37,117,27,0,49,127.38
65,54,44,50,40,0,65,77.28
82,55,29,82,35,0,53,94.18
84,20,37,84,72,0,55,98.69
91,34,37,91,60,0,54,104.12
140,44,36,140,31,0,57,152.09
155,42,43,155,66,0,69,170.35
96,41,31,96,16,0,39,105.04
86,16,32,86,19,0,25,92.75
66,16,37,66,22,0,46,75.51
108,35,40,108,52,0,73,123.05
180,28,40,180,29,0,62,192.44
108,23,32,108,59,0,42,120.05
94,13,32,94,42,0,37,103.05
81,23,41,81,54,0,58,93.68
137,22,43,137,28,0,47,147.2
172,23,41,172,37,0,47,182.3
140,19,47,140,0,0,46,149.73
97,33,44,97,59,0,64,111.09
108,33,38,108,44,0,49,118.97
69,34,34,69,38,0,47,79.31
91,35,67,91,38,0,72,106.61
108,30,108,61,68,0,43,122.71
131,19,45,131,26,0,39,140.6
117,32,31,117,51,0,42,128.01
105,22,42,105,26,0,35,114.01
101,32,51,101,63,0,45,114.54
145,24,41,145,26,0,44,154.65
77,28,35,77,51,0,42,88.01
50,27,28,50,23,0,32,57.2
57,26,40,57,20,0,37,65.77
69,22,64,69,25,0,43,81.69
103,28,45,103,27,0,65,116.1
108,31,42,108,43,0,47,118.66
110,33,44,110,55,0,37,121.85
107,24,43,107,49,0,46,117.99
97,15,97,52,54,0,40,108.8
84,9,84,51,46,0,52,95.45
124,26,50,124,51,0,66,137.97
49,25,36,49,31,0,44,58.52
101,40,47,101,61,0,62,115.09
124,43,105,124,27,0,57,144
140,45,140,104,61,0,58,160.71
115,43,45,115,37,0,57,127.4
86,41,44,86,34,0,41,96.15
111,47,61,111,19,0,40,123.68
87,32,43,87,83,0,35,102.94
85,30,40,85,39,0,39,94.33
111,13,49,111,56,0,53,123.29
128,17,115,128,20,0,47,148.34
104,20,93,104,36,0,80,123.07
62,41,54,54,24,0,62,74.1
110,11,44,110,41,0,34,119.55
118,28,45,118,25,0,50,128.81
91,32,80,91,45,0,57,107.39
136,43,136,107,61,0,68,157.53
143,44,112,143,61,0,70,165.4
156,42,156,115,62,0,72,178.93
192,24,192,117,56,0,63,214.3
210,35,210,62,63,0,97,229.64
169,55,169,92,59,0,80,189.08
224,44,224,104,66,0,102,246.9
103,61,101,101,75,0,103,125.92
150,25,39,150,40,0,55,161.53
87,18,46,87,31,0,83,102.73
106,24,51,106,29,0,55,117.86
139,61,108,139,60,0,82,161.72
119,41,119,111,70,0,83,142.02
82,41,74,59,59,0,82,98.05
