"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2005","57","PM2.5","Gary- Burr St./ pumping station near truck stop","18-089-0026","AQS","8","19","30","16","57","23"
"01/02/2005","39","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","20","13","39","19","37","27"
"01/03/2005","62","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","15","29","26","11","62","36"
"01/04/2005","55","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","8","32","24","14","55","33"
"01/05/2005","36","SO2","NIPSCO Dunes Acres","18-127-0011","AQS","6","32","36","11","14","24"
"01/06/2005","71","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","13","31","31","14","71","46"
"01/07/2005","84","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","15","19","44","22","84","44"
"01/08/2005","82","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","16","17","49","23","82","33"
"01/09/2005","66","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","14","18","34","19","66","26"
"01/10/2005","67","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","17","18","50","25","67","41"
"01/11/2005","61","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS","14","12","17","20","61","61"
"01/12/2005","76","SO2","WATER PLANT WEST","17-197-0013","AQS","18","19","76","32","41","38"
"01/13/2005","117","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","26","79","58","117","42"
"01/14/2005","122","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","13","28","122","47","79","57"
"01/15/2005","163","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","10","29","163","25","61","41"
"01/16/2005","116","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","9","31","56","77","116","37"
"01/17/2005","87","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","29","59","76","87","47"
"01/18/2005","72","SO2","WATER PLANT WEST","17-197-0013","AQS","15","19","72","45","66","72"
"01/19/2005","67","PM2.5","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","11","26","57","28","67","44"
"01/20/2005","77","PM2.5","GRAVES ES","17-031-3301","AQS","18","32","24","27","77","38"
"01/21/2005","61","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","15","32","31","25","61","41"
"01/22/2005","91","SO2","Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker","18-089-0022","AQS","17","31","91","31","64","45"
"01/23/2005","54","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","13","31","54","18","47","51"
"01/24/2005","77","SO2","COOK COUNTY TRAILER","17-031-4002","AQS","17","20","77","26","65","72"
"01/25/2005","106","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","23","20","70","45","106","87"
"01/26/2005","59","PM2.5","MAYFAIR PUMP STATION","17-031-0052","AQS","11","38","23","23","59","40"
