Overall AQI Value,Ozone,PM25,NO2
127,21,25,42
65,23,25,42
101,20,25,40
94,19,25,44
75,16,25,40
105,26,25,40
113,32,25,44
97,20,25,42
103,20,25,41
81,20,25,57
87,23,25,42
59,27,25,42
200,25,25,41
99,22,25,58
77,12,25,69
99,25,25,42
60,27,25,40
113,25,25,42
80,33,25,45
72,31,25,37
107,30,25,39
128,25,25,43
82,27,25,39
86,28,25,45
111,28,25,53
69,29,25,50
173,29,25,41
97,31,25,57
97,29,25,47
107,30,25,69
113,31,25,47
149,24,25,74
109,30,25,56
119,35,25,49
105,27,25,50
71,25,25,68
92,25,25,41
66,22,25,60
67,21,25,50
95,28,25,47
91,32,25,42
87,30,25,42
200,23,25,66
89,18,25,42
123,31,25,45
115,31,25,38
158,24,25,38
113,23,25,39
59,18,25,54
57,31,25,40
121,26,25,42
120,27,25,46
114,31,25,40
59,28,25,33
72,31,25,33
66,31,25,42
61,31,25,47
56,30,25,42
123,34,25,47
112,29,25,49
97,31,25,32
65,34,25,33
105,33,25,51
91,26,25,47
128,31,25,31
137,34,25,48
128,32,25,57
104,31,25,42
105,40,25,40
105,35,25,42
70,30,25,31
112,38,25,37
111,38,25,40
117,37,25,49
65,44,25,65
82,29,25,53
84,37,25,55
91,37,25,54
140,36,25,57
155,43,25,69
96,31,25,39
86,32,25,25
66,37,25,46
108,40,25,73
180,40,25,62
108,32,25,42
94,32,25,37
81,41,25,58
137,43,25,47
172,41,25,47
140,47,25,46
97,44,25,64
108,38,25,49
69,34,25,47
91,67,25,72
108,108,25,43
131,45,25,39
117,31,25,42
105,42,25,35
101,51,25,45
145,41,25,44
77,35,25,42
50,28,25,32
57,40,25,37
69,64,25,43
103,45,25,65
108,42,25,47
110,44,25,37
107,43,25,46
97,97,25,40
84,84,25,52
124,50,25,66
49,36,25,44
101,47,25,62
124,105,25,57
140,140,25,58
115,45,25,57
86,44,25,41
111,61,25,40
87,43,25,35
85,40,25,39
111,49,25,53
128,115,25,47
104,93,25,80
62,54,25,62
110,44,25,34
118,45,25,50
91,80,25,57
136,136,25,68
143,112,25,70
156,156,25,72
192,192,25,63
210,210,25,97
169,169,25,80
224,224,25,102
103,101,25,103
150,39,25,55
87,46,25,83
106,51,25,55
139,108,25,82
119,119,25,83
82,74,25,82
119,43,25,52
155,87,25,69
132,41,25,46
176,74,25,48
161,161,25,71
197,197,25,76
164,164,25,70
182,182,25,69
115,115,25,66
201,201,25,66
119,119,25,66
108,77,25,98
115,42,25,45
191,42,25,39
106,71,25,57
97,97,25,58
169,169,25,81
202,202,25,82
140,140,25,73
159,159,25,90
157,87,25,73
166,166,25,56
149,126,25,52
104,84,25,49
54,54,25,48
112,97,25,74
203,203,25,68
206,206,25,73
209,209,25,74
190,190,25,104
87,33,25,33
170,47,25,41
119,119,25,76
177,177,25,80
200,190,25,87
133,133,25,58
136,136,25,57
151,151,25,56
130,126,25,36
108,108,25,57
140,140,25,60
100,47,25,57
69,45,25,43
164,164,25,82
179,179,25,81
112,112,25,45
110,47,25,39
102,47,25,42
119,119,25,62
129,129,25,67
69,47,25,51
85,49,25,46
57,45,25,30
136,136,25,79
192,192,25,98
159,159,25,83
151,151,25,88
185,185,25,77
172,172,25,54
150,150,25,65
108,108,25,57
115,67,25,53
102,47,25,54
97,39,25,44
62,42,25,48
121,51,25,54
105,105,25,50
108,80,25,69
53,51,25,53
111,108,25,62
177,177,25,106
166,166,25,105
61,61,25,42
69,39,25,36
85,43,25,55
101,101,25,45
112,112,25,64
105,80,25,63
113,41,25,46
61,45,25,51
101,101,25,53
105,54,25,60
87,87,25,63
208,208,25,104
190,190,25,73
159,159,25,81
117,49,25,45
100,100,25,41
102,77,25,33
69,37,25,29
144,77,25,58
86,77,25,51
105,49,25,42
129,129,25,43
214,214,25,62
215,215,25,88
187,187,25,52
187,187,25,70
200,200,25,91
100,100,25,90
109,40,25,45
102,61,25,42
112,112,25,53
81,38,25,51
76,41,25,40
101,71,25,73
154,154,25,79
195,195,25,83
129,129,25,62
163,49,25,46
71,37,25,37
110,40,25,33
123,49,25,57
108,108,25,56
58,58,25,53
69,45,25,45
100,38,25,49
71,39,25,57
101,26,25,37
82,41,25,37
67,35,25,44
90,49,25,53
89,38,25,36
65,25,25,33
86,29,25,42
94,33,25,42
102,30,25,42
106,32,25,50
94,37,25,44
108,46,25,50
93,93,25,62
102,61,25,66
84,51,25,66
60,38,25,43
85,38,25,37
95,29,25,30
66,29,25,26
102,28,25,39
145,48,25,52
116,37,25,80
93,35,25,93
63,37,25,63
81,42,25,40
72,36,25,31
141,19,25,34
67,24,25,42
162,35,25,45
194,40,25,42
102,31,25,40
57,31,25,40
76,47,25,43
72,37,25,60
111,54,25,63
141,36,25,44
132,23,25,36
105,20,25,28
43,20,25,25
69,20,25,17
125,19,25,28
144,19,25,42
60,22,25,22
60,20,25,25
127,23,25,41
99,27,25,25
95,25,25,27
64,24,25,34
136,27,25,37
66,27,25,46
63,27,25,41
113,23,25,55
110,26,25,64
116,17,25,65
43,13,25,41
56,14,25,38
108,13,25,43
198,25,25,46
154,26,25,52
81,31,25,34
128,25,25,33
200,28,25,43
200,18,25,44
85,17,25,50
102,11,25,94
87,12,25,50
49,21,25,30
75,24,25,33
81,24,25,45
110,17,25,44
116,19,25,32
66,28,25,32
200,29,25,47
197,24,25,36
76,23,25,35
57,28,25,31
62,24,25,46
59,25,25,41
196,19,25,42
110,19,25,50
56,19,25,39
59,16,25,35
97,19,25,48
103,15,25,38
80,19,25,36
60,16,25,36
79,15,25,42
69,26,25,35
75,28,25,32
72,20,25,39
134,27,25,42
74,26,25,42
75,17,25,65
102,10,25,35
60,15,25,41
87,11,25,30
107,25,25,47
102,19,25,41
61,19,25,55
119,23,25,42
59,23,25,32
100,20,25,29
71,15,25,31
46,22,25,41
50,16,25,29
69,18,25,25
95,20,95,71
103,22,80,63
71,17,71,50
75,12,75,37
100,24,72,31
76,21,76,66
65,12,65,53
72,14,59,46
61,20,61,49
66,20,66,52
87,28,83,38
60,17,44,33
70,17,70,44
71,20,65,44
64,22,64,60
78,18,78,54
74,23,74,56
96,21,70,55
74,22,74,38
68,21,68,67
84,26,54,55
76,27,76,43
79,26,79,64
62,25,51,49
55,21,55,40
41,30,33,35
70,25,70,53
64,28,54,46
74,25,74,40
43,24,42,43
65,32,60,55
68,27,68,53
65,32,65,49
79,33,79,72
79,26,79,70
94,28,94,72
112,27,112,72
110,18,110,65
77,27,77,43
52,31,52,40
60,27,46,60
74,30,48,67
64,28,55,64
62,25,53,42
75,22,75,45
78,32,78,46
67,33,41,42
67,25,53,55
72,26,72,54
55,22,55,45
95,32,81,52
72,34,59,72
72,30,50,54
