"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2018","180","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","40","44","3","42","180","56"
"01/02/2018","151","PM2.5","Pico Rivera #2","06-037-1602","AQS","24","36","3","62","151","67"
"01/03/2018","110","PM2.5","Long Beach (South)","06-037-4004","AQS","27","28","6","35","110","84"
"01/04/2018","85","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","29","4","32","85","62"
"01/05/2018","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","17","31","4","21","69","56"
"01/06/2018","63","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","10","35","4","31","63","38"
"01/07/2018","92","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","35","4","30","92","37"
"01/08/2018","66","PM2.5","Pico Rivera #2","06-037-1602","AQS","11","24","1","25","66","42"
"01/09/2018","48","PM2.5","Reseda","06-037-1201","AQS","10","39","1","6","48","43"
"01/10/2018","64","PM2.5","Reseda","06-037-1201","AQS","13","32","3","17","64","37"
"01/11/2018","83","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","18","31","3","27","83","48"
"01/12/2018","112","PM2.5","Long Beach (South)","06-037-4004","AQS","26","36","3","19","112","62"
"01/13/2018","55","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","42","1","17","55","45"
"01/14/2018","49","PM2.5","Compton","06-037-1302","AQS","17","41","3","25","49","47"
"01/15/2018","81","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","22","40","10","24","81","62"
"01/16/2018","92","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","37","4","35","92","68"
"01/17/2018","92","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","24","35","4","21","92","71"
"01/18/2018","82","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","37","4","27","82","57"
"01/19/2018","69","PM2.5","Reseda","06-037-1201","AQS","11","37","1","30","69","38"
"01/20/2018","40","Ozone","Azusa","06-037-0002","AQS","6","40","1","39","38","27"
"01/21/2018","56","PM2.5","Long Beach (South)","06-037-4004","AQS","13","36","4","8","56","40"
"01/22/2018","65","PM2.5","Long Beach (South)","06-037-4004","AQS","19","39","3","18","65","43"
"01/23/2018","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","15","36","1","17","56","49"
"01/24/2018","48","NO2","Pomona","06-037-1701","AQS","16","41","6","26","46","48"
"01/25/2018","54","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","39","1","18","54","41"
"01/26/2018","56","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","16","40","1","30","56","41"
"01/27/2018","65","PM2.5","Long Beach (South)","06-037-4004","AQS","23","42","1","18","65","47"
"01/28/2018","68","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","30","42","16","14","68","45"
"01/29/2018","68","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","31","35","3","18","60","68"
"01/30/2018","56","NO2","Long Beach (Hudson)","06-037-4006","AQS","17","31","4","32","53","56"
"01/31/2018","78","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS","26","30","6","26","68","78"
"02/01/2018","101","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","28","40","4","56","101","88"
"02/02/2018","94","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","23","42","7","25","94","85"
"02/03/2018","109","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS","32","54","7","29","109","89"
"02/04/2018","97","PM2.5","Compton","06-037-1302","AQS","20","74","3","20","97","54"
"02/05/2018","88","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","47","3","26","88","47"
"02/06/2018","109","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","9","43","1","35","109","50"
"02/07/2018","79","PM2.5","Long Beach (South)","06-037-4004","AQS","17","42","1","44","79","64"
"02/08/2018","81","NO2","Long Beach (Hudson)","06-037-4006","AQS","25","42","3","28","76","81"
"02/09/2018","69","PM2.5","Los Angeles-North Main Street","06-037-1103","AQS","16","46","3","29","69","46"
